製作日期: 2025-05-08 13:18:37,,,,篩選日期: 2025-04-08 08:00:00 ~ 2025-05-08 23:59:59,,,,,
收文清單,,,,,,,,,
共 22 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
1,2025-05-07 17:17:43,中華民國114年5月7日,開會通知單,桃工用,1140017286,".本市桃園區「龍潭區龍新路三和段道路拓寬(直坑尾橋至三和段1240巷)」用地取得協議價購土地市價審查會議
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
2,2025-05-07 13:47:37,中華民國114年5月7日,函,桃工用,1140017220,"有關本局114年4月17日辦理「桃園市平鎮東龍科技園區聯外道路拓寬工程」用地取得協議價購土地市價審查會議一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
3,2025-05-05 09:37:43,中華民國114年5月5日,函,桃工用,11400162141,"檢送本府地政局114年4月23日召開「114年本市地價及標準地價評議委員會預為審查專案小組第4次會議」會議紀錄1份，請貴事務所依會議決議辦理修正，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
4,2025-04-30 16:27:12,中華民國114年4月30日,函,中分局單埔,1145013871,"有關「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」專業責任險、營繕承保人意外責任險、雇主意外責任險、無人機責任險追加保險日期之正本及收據，同意核定，請查照。
",交通部公路局中區養護工程分局埔里工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
5,2025-04-30 13:56:36,中華民國114年4月30日,開會通知單,桃工用,1140016283,"「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」工作計畫書審查會議
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
6,2025-04-29 13:46:27,中華民國114年4月29日,函,府建都,1140100517,"有關本府委託貴公司辦理「114年度南投縣都市計畫樁位測補釘案委託技術服務案(開口契約)」案，准予核備1案，如說明，請查照。
",南投縣政府,"EB50819619
乾坤測繪科技有限公司",收文完成
7,2025-04-29 09:46:55,中華民國114年4月28日,函,桃工用,1140015883,"檢送本局114年4月17日辦理本市「八德區豐田路至捷運綠線G02站道路開闢工程」用地取得協議價購土地市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
8,2025-04-28 13:22:10,中華民國114年4月28日,函,桃工用,1140015622,"有關本府地政局召開本市114年地價及標準地價評議委員會預為審查專案小組第5次會議，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
9,2025-04-28 13:22:00,中華民國114年4月28日,函,桃工用,1140015885,"檢送本府辦理本市「平鎮區平東路239巷94弄至華安街」道路工程用地取得第2場公聽會民眾陳述意見書1份，請查照惠復。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
10,2025-04-24 14:44:11,中華民國114年4月24日,函,府工用,1140105677,"檢送本府114年3月13日及同年3月14日辦理本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」用地取得協議價購或以其他方式取得會議紀錄1份(共9場)，請查照。
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
11,2025-04-23 14:02:25,中華民國114年4月23日,函,桃工用,1140014984,"有關本市「桃園區興二街(興一街至大有路)」用地協議價購市價查估報告書（再修正版），請依本市桃園地政事務所意見再行修正，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
12,2025-04-23 14:02:15,中華民國114年4月23日,函,桃工用,1140014984,"有關本市「桃園區興二街(興一街至大有路)」用地協議價購市價查估報告書（再修正版），請依本市桃園地政事務所意見再行修正，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
13,2025-04-22 15:25:19,中華民國114年4月22日,函,桃工用,11400141901,"有關本市「楊梅區新農街378巷13弄道路打通」及「中壢區龍岡路1-4-10M計畫道路路口瓶頸打通工程」用地取得土地徵收補償查估審議2案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
14,2025-04-18 13:55:04,中華民國114年4月18日,函,桃工用,1140014078,"有關貴公司提送「大溪區大鶯路60巷道路拓寬工程」控制測量、1/500地形測量及測量報告及地形圖製作作業成果一案，經審查尚符契約規定，本局原則同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
