製作日期: 2025-07-24 08:46:54,,,,篩選日期: 2025-05-19 00:00:00 ~ 2025-07-24 23:59:59,,,,,
收文清單,,,,,,,,,
共 64 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
22,2025-07-02 14:17:49,中華民國114年7月2日,函,中分局單信,1145021065,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」第二季評估報告審查意見（含埔里段及信義段）1份，請依限於114年7月8日前修正後函送本段，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
23,2025-07-02 11:36:57,中華民國114年7月2日,函,桃工用,1140026220,"為辦理本市「桃園區同德十二街道路開闢工程」用地取得作業，請協助回復土地所有權人牙璽琹、牙璽靖君之陳述意見，俾憑彙整後回復，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
24,2025-07-02 10:57:13,中華民國114年7月2日,函,桃工用,1140025966,"為貴公司承攬本局「八德區和強路(和平路至延平路)拓寬工程」內用地範圍八德區中華段1318地號等44筆土地協議價購市價查估及地上物查估作業，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司（協力廠商:大有國際不動產估價師聯合事務所）",收文完成
25,2025-07-02 10:57:02,中華民國114年7月2日,函,桃工用,1140025966,"為貴公司承攬本局「八德區和強路(和平路至延平路)拓寬工程」內用地範圍八德區中華段1318地號等44筆土地協議價購市價查估及地上物查估作業，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
26,2025-07-01 13:38:15,中華民國114年7月1日,函,桃工用,1140026093,"為貴公司承攬本局「八德區和強路(和平路至延平路)拓寬工程」內用地範圍八德區中華段1318地號等44筆土地協議價購市價查估及地上物查估作業，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
27,2025-06-26 09:07:03,中華民國114年6月25日,函,府工用,1140178073,"檢送本府114年5月29日辦理「桃園市『桃園區國強一街至文中路道路開闢工程』用地取得協議價購或以其他方式取得會議」會議紀錄1份，請查照。
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
28,2025-06-25 15:27:56,中華民國114年6月25日,函,桃工用,1140025295,"有關本市「中壢區龍岡路4-1-10M計畫道路路口瓶頸打通工程」、「桃園區經國路208巷打通至南通路21巷」及大園區「田溪路(華興路二段至聖德北路)道路拓寬工程」用地取得土地徵收補償查估審議一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
29,2025-06-25 11:36:16,中華民國114年6月25日,開會通知單,府建都,1140146773,"召開114年度南投市地籍圖重測區都市計畫樁位偏差研商會議
",南投縣政府,"EB50819619
乾坤測繪科技有限公司",收文完成
30,2025-06-20 14:44:14,中華民國114年6月20日,函,嘉竹地價,1140003845,"有關本所「114年度圖根點補建、新建作業」採購案（案號QE1140601），決標事項如說明，請查照。
",嘉義縣竹崎地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
31,2025-06-19 17:25:34,中華民國114年6月19日,函,嘉竹地價,1140003798,"本所「114年度圖根點補建、新建作業」採購案評審結果，詳如說明，請查照。
",嘉義縣竹崎地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
32,2025-06-18 12:00:07,中華民國114年6月18日,函,桃工用,1140024090,"為貴公司承攬本局「八德區和強路(和平路至延平路)拓寬工程」內用地範圍八德區中華段1318地號等44筆土地協議價購市價查估及地上物查估作業，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
33,2025-06-17 16:03:45,中華民國114年6月17日,函,中分局單信,1145019389,"檢送本段114年5月27日召開「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」安全衛生協議組織會議紀錄及危害因素告知單各1份，業經本分局同意備查，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
34,2025-06-16 14:24:14,中華民國114年6月16日,函,中分局單信,1145019312,"檢送本段「114年第1、2次一般災害」明細資料1份，請於114年6月30日前完成上傳「省道邊坡全生命週期維護管理系統」，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
35,2025-06-16 12:07:24,中華民國114年6月16日,函,中分局養,1145018830B,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」契約書副本1份，請派員監造，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
36,2025-06-13 12:45:17,中華民國114年6月13日,函,中分局單信,1145019069,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」汛期前綜合評估報告一案，請依契約規定於7日內修正完成送段，詳如說明，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
37,2025-06-13 12:45:07,中華民國114年6月13日,函,中分局單信,1145019072,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」第二季評估報告1份，請貴段惠予提供審查意見，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
38,2025-06-12 10:56:11,中華民國114年6月12日,函,中分局單信,1145018951,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」提送「邊坡口卡系統遠端建置工作」相關儀器規格確認單一案，本段同意核定，詳如說明，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
39,2025-06-12 10:56:02,中華民國114年6月12日,函,桃工用,1140023080,"為辦理本市「桃園區經國路208巷打通至南通路21巷」土地徵收查估市價提報本市地價及標準地價評議委員會評議一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
40,2025-06-12 10:30:53,中華民國114年6月12日,開會通知單,嘉竹地價,11400035661,"「114年度圖根點補建、新建作業」採購評審小組會議
",嘉義縣竹崎地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
