製作日期: 2025-09-05 09:30:40,,,,篩選日期: 2025-07-24 00:00:00 ~ 2025-09-05 23:59:59,,,,,
收文清單,,,,,,,,,
共 30 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
1,2025-09-04 09:07:11,中華民國114年9月3日,函,中分局養,1145028136,"檢送本分局114年8月27日召開「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」汛期前綜合評估報告審查會會議紀錄1份，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
2,2025-09-02 16:06:31,中華民國114年9月2日,開會通知單,府工用,1140248422,"桃園市龜山區「虎頭山三聖宮前串連台1線新闢道路工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
3,2025-08-28 08:50:11,中華民國114年8月27日,函,桃工用,1140034813,"為辦理本市「龍潭區龍新路三和段道路拓寬(直坑尾橋至三和段1240巷)」用地取得範圍內土地改良物查估作業，請臺端依排定時間會同查估，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
4,2025-08-28 08:50:02,中華民國114年8月27日,函,桃工用,1140033830,"有關「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」期中報告書修正版核定一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
5,2025-08-27 16:27:44,中華民國114年8月27日,函,中分局產,1145027732,"本分局辦理「谷關工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」採購，於114年8月27日開標(第一階段)資格審查，貴公司符合資格，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
6,2025-08-25 16:21:20,中華民國114年8月25日,函,府建都,1140197254,"有關貴公司函報「114年度南投縣都市計畫樁位測補釘案委託技術服務案(開口契約)」第二次工作派工於114年8月22日完工乙案，本府同意備查，請查照。
",南投縣政府,"EB50819619
乾坤測繪科技有限公司",收文完成
7,2025-08-25 16:21:11,中華民國114年8月25日,函,桃工用,1140033981,"檢送本局114年8月12日「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」期中報告書審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
8,2025-08-25 12:50:49,中華民國114年8月25日,函,桃工用,1140033478,"函轉有關貴公司承攬本局「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-第60次派工「桃園區同德十二街道路開闢工程地上物查估作業」本府經濟發展局函文，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
9,2025-08-22 09:00:02,中華民國114年8月22日,函,桃工用,1140034084,"有關本府地政局召開本市114年地價及標準地價評議委員會預為審查專案小組第9次會議，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
10,2025-08-21 15:23:11,中華民國114年8月21日,函,府工用,1140242464,"檢送本府114年6月12日辦理本市「八德區和強路(和平路至延平路)拓寬工程」用地取得協議價購或以其他方式取得會議紀錄1份，請查照。
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
