製作日期: 2025-04-08 09:21:17,,,,篩選日期: 2025-04-01 00:00:00 ~ 2025-04-08 23:59:59,,,,,,
發文清單,,,,,,,,,,
共 6 件公文,,,,,,,,,,
序號,發文日期,公文日期,類別,字,文號,發文單位,受文單位,狀態,使用者確認,主旨
1,2025-04-07 14:13:17,中華民國114年4月7日,函,乾坤測,1140000054,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-07 15:07:23,"檢送本公司辦理「中壢區龍勇路(興元路至龍仁路)道路拓寬開闢」導線測量、1/500地形測量、橫斷面1/100測量作業成果(核定版)乙式，請查照。
"
2,2025-04-02 11:11:42,中華民國114年4月2日,函,乾坤測,1140000053,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-02 12:13:56,"檢送本公司辦理「八德區和強路(和平路至延平路)拓寬工程」協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
3,2025-04-02 09:52:59,中華民國114年4月2日,函,乾坤測,1140000052,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-04-02 10:33:24,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)乙式，請查照。
"
4,2025-04-02 09:52:59,中華民國114年4月2日,函,乾坤測,1140000052,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-04-02 10:34:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)乙式，請查照。
"
5,2025-04-02 09:52:59,中華民國114年4月2日,函,乾坤測,1140000052,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-04-02 10:32:51,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)乙式，請查照。
"
6,2025-04-01 14:13:13,中華民國114年4月1日,函,乾坤測,1140000050,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-04-01 15:07:22,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」查估作業成果，詳如說明，請查照。
"
